flight,date,route,commanded_speed_mps,payload_g,cruise_altitude_m,duration_s,energy_wh_abs_vi,mean_power_w_abs_vi,central_segment_power_w,mean_wind_mps,p95_wind_mps
1,2019-04-07,R5,4.0,0.0,25.0,200.7,21.76575986473868,390.4172173047297,460.9615587118288,3.898058252330844,6.599999905
2,2019-04-07,R5,4.0,0.0,50.0,271.2,25.37425928280153,336.82645065665747,464.7117880662904,3.5229408516120753,7.300000190734862
3,2019-04-07,R5,6.0,0.0,25.0,180.1,17.090368772898234,341.6175879091263,417.4485631589429,4.581182351120306,10.5
4,2019-04-07,R5,8.0,0.0,25.0,171.0,14.70116034155552,309.4981124538004,376.1576673949984,4.59631902446985,11.100000381469727
5,2019-04-07,R2,4.0,0.0,25.0,217.0,19.049047786205474,316.0210692642383,377.2407741723025,3.333910038912585,7.0
6,2019-04-07,R3,4.0,0.0,25.0,204.49,20.113325401190412,354.09052493660073,434.9301006185591,4.027639298800849,7.300000190734862
7,2019-05-06,R4,4.0,0.0,25.0,179.61,21.52328953155373,431.4004916964168,464.83338525170046,4.8847117789008765,7.5
8,2019-05-06,R1,4.0,0.0,25.0,233.5,21.927314377487757,338.0656606379269,458.66355790601244,2.9141848495514617,5.714999866485606
10,2019-05-06,R1,6.0,0.0,25.0,138.09,16.546316528871657,431.36171702467925,468.0545859692514,5.111713667365837,9.795000171661382
12,2019-05-06,R1,10.0,0.0,25.0,116.21,12.991369182951074,402.45184630086794,455.27304076269405,5.998580653282904,12.300000190734865
14,2019-05-06,R1,12.0,250.0,25.0,106.11,14.217127504532492,482.34529277463923,548.4170676694704,6.228248587351734,14.06500024795532
15,2019-05-06,R1,10.0,250.0,25.0,113.2,14.234397628390921,452.68402351773244,504.32759690807654,5.53214285581831,12.399999618530273
16,2019-05-06,R1,8.0,250.0,25.0,125.8,15.23659251450762,436.02331520053605,495.17380943600295,5.378214286196799,11.0
17,2019-05-06,R1,6.0,250.0,25.0,139.09,17.539218334083465,453.9592062887373,493.01181252654396,5.032758619347266,8.899999618530273
18,2019-05-06,R1,4.0,250.0,25.0,170.2,23.28683402306741,492.5534810989582,513.7574373680661,5.064933920221707,8.929999732971186
20,2019-05-06,R1,8.0,250.0,50.0,140.09,18.846149797607662,484.3039422613147,509.65208373222123,4.849892922463713,10.100000381469727
23,2019-05-06,R1,12.0,250.0,50.0,127.0,16.92470140898694,479.75531553033846,527.1520430855228,5.625943393428933,13.964999866485593
59,2019-06-05,R1,10.0,250.0,50.0,141.1,17.62467431926817,449.6727678906125,528.2572805555062,5.7589798056452235,15.0
60,2019-06-05,R1,12.0,250.0,75.0,150.41,19.25475317718816,460.8544075385771,528.1148410225222,5.167896315737712,13.590000343322751
68,2019-06-05,R1,12.0,250.0,100.0,171.49,22.74537775041765,477.4818351011927,541.2631616962652,4.710664339324499,12.699999809265135
76,2019-06-11,R1,4.0,750.0,25.0,243.3,25.897701017709522,383.1965625308437,502.3464485018496,3.9262022189015084,7.599999904632567
77,2019-06-11,R1,12.0,0.0,25.0,136.3,13.386503683441505,353.5686959676406,495.5479061241537,5.7623762443120725,14.42000007629395
78,2019-06-11,R1,6.0,0.0,50.0,188.5,19.061005911989753,364.0298211308388,450.7346382808969,5.71845663959485,11.320000076293951
79,2019-06-11,R1,10.0,0.0,50.0,156.21,15.011209095499524,345.9468199462152,451.2018342399459,5.664046022544543,13.699999809265135
80,2019-06-11,R1,12.0,0.0,50.0,176.9,16.481942247665266,335.41544427131123,460.94767675089696,5.723031335973214,14.600000381469727
81,2019-06-11,R1,6.0,0.0,75.0,179.0,20.811383219338737,418.552958601226,460.04267099667265,5.833919609012316,10.800000190734863
82,2019-06-11,R1,8.0,0.0,75.0,181.9,18.85527390371375,373.1664983692661,463.26838416960044,6.137766842429078,14.300000190734865
83,2019-06-11,R1,12.0,0.0,75.0,178.3,18.343025461110013,370.3583379696918,461.754855905785,5.731486143358208,13.300000190734865
84,2019-06-11,R1,6.0,0.0,100.0,227.3,23.853230465968544,377.7898358006456,461.16932518112026,6.41034936243834,13.0
85,2019-06-11,R1,10.0,0.0,100.0,226.5,21.01730112490141,334.04981920373103,484.06151682273253,6.396301187525652,15.234999942779531
86,2019-06-11,R1,12.0,0.0,100.0,182.69,19.907294008138216,392.2834223509638,475.08116143804534,5.696551729060942,15.0
87,2019-06-11,R1,4.0,250.0,100.0,250.1,29.026134227110415,417.8092091867153,475.03872990322895,5.910173557533753,12.199999809265135
88,2019-06-11,R1,8.0,250.0,100.0,205.3,22.956267062755305,402.54535521636194,493.13390881281856,5.201022639206677,12.899999618530273
91,2019-06-19,R1,10.0,500.0,75.0,177.39,21.88121774132114,444.0632722744017,553.0876895177479,4.612405070423577,12.399999618530273
92,2019-06-19,R1,12.0,500.0,75.0,175.81,21.809803118193535,446.59172530286514,569.5108149333546,5.185434417408817,13.899999618530273
93,2019-06-19,R1,6.0,500.0,50.0,181.81,22.622655892782742,447.94874437059497,553.7851513986645,4.710461288494176,10.899999618530273
94,2019-06-19,R1,4.0,500.0,50.0,219.2,27.973605036750065,459.4205206765522,558.8688288781667,3.65462012959212,7.900000095367432
95,2019-06-19,R1,10.0,500.0,50.0,159.7,19.06812274709331,429.8387093897052,560.7948440730976,4.066979361505826,11.674999952316282
96,2019-06-19,R1,6.0,500.0,75.0,201.0,25.55301225478608,457.66589113049696,555.2392689948936,4.188366884947667,9.600000381469727
97,2019-06-19,R1,4.0,500.0,75.0,236.39,31.35291757269268,477.47579534537687,561.9985009769825,3.075776789798038,6.099999904632568
98,2019-06-19,R1,12.0,500.0,25.0,130.5,14.88776993642946,410.69710169460586,579.7829826812174,4.592307692348752,14.0
99,2019-06-19,R1,8.0,500.0,75.0,190.7,23.550984686070777,444.59121588806926,571.3642630054673,3.8040816425060737,10.300000190734863
100,2019-06-19,R1,12.0,500.0,50.0,156.01,18.381261962528054,424.1557788930261,571.451431832852,4.178598855055454,13.5
101,2019-06-19,R1,8.0,500.0,50.0,164.5,20.008372858670302,437.8732054177088,555.8087945755759,3.898360653619243,10.015000057220469
