hour_of_day,calibration_order_count,calibration_share,relative_intensity_to_hourly_mean
0,223,0.025593940089521403,0.6142545621485137
1,125,0.014346378973946975,0.3443130953747274
2,74,0.008493056352576609,0.20383335246183862
3,34,0.0039022150809135776,0.09365316194192586
4,28,0.0032135888901641224,0.07712613336393893
5,25,0.002869275794789395,0.06886261907494548
6,34,0.0039022150809135776,0.09365316194192586
7,122,0.014002065878572249,0.33604958108573396
8,207,0.02375760358085619,0.5701824859405485
9,377,0.04326867898542408,1.038448295650178
10,513,0.05887753930907839,1.4130609434178814
11,594,0.06817399288419602,1.6361758292207047
12,560,0.06427177780328246,1.5425226672787788
13,593,0.06805922185240446,1.6334213244577067
14,574,0.0658785722483645,1.5810857339607483
15,577,0.06622288534373924,1.5893492482497418
16,597,0.06851830597957076,1.644439343509698
17,546,0.0626649833582004,1.5039596005968092
18,470,0.05394238494204063,1.294617238608975
19,518,0.05945139446803627,1.4268334672328704
20,472,0.05417192700562378,1.3001262481349707
21,497,0.05704120280041317,1.3689888672099162
22,530,0.06082864684953518,1.4598875243888443
23,423,0.04854814644783657,1.1651555147480774
