episode_date,split,observed_purchase_count,mean_actual_wind_mps,max_actual_wind_mps,nonzero_arrival_steps,direct_replay_eligible
2016-10-02,calibration,0,4.85926,5.66,0,0
2016-10-03,calibration,1,3.04148,3.3,1,1
2016-10-04,calibration,8,2.68333,4.18,7,1
2016-10-05,calibration,1,4.47593,5.0,1,1
2016-10-06,calibration,4,4.49519,5.64,3,1
2016-10-07,calibration,6,2.55667,4.19333,6,1
2016-10-08,calibration,4,1.68926,2.48,3,1
2016-10-09,calibration,0,4.37148,5.56,0,0
2016-10-10,calibration,0,5.19185,5.8,0,0
2016-10-11,calibration,0,2.49444,4.79,0,0
2016-10-12,calibration,0,2.69148,4.34,0,0
2016-10-13,calibration,0,5.21074,6.08,0,0
2016-10-14,calibration,0,3.81148,5.15,0,0
2016-10-15,calibration,0,1.99444,2.95,0,0
2016-10-16,calibration,0,2.46074,3.58,0,0
2016-10-17,calibration,0,2.79926,3.7,0,0
2016-10-18,calibration,0,2.31111,3.45,0,0
2016-10-19,calibration,0,1.99593,2.82,0,0
2016-10-20,calibration,0,2.23741,3.78,0,0
2016-10-21,calibration,0,4.8537,5.22,0,0
2016-10-22,calibration,0,5.17222,5.81,0,0
2016-10-23,calibration,0,3.52259,4.5,0,0
2016-10-24,calibration,0,2.3163,4.04,0,0
2016-10-25,calibration,0,1.57704,3.05,0,0
2016-10-26,calibration,0,2.66296,3.28,0,0
2016-10-27,calibration,0,7.49037,9.04,0,0
2016-10-28,calibration,0,2.69556,6.08,0,0
2016-10-29,calibration,0,5.49815,6.11,0,0
2016-10-30,calibration,0,4.43037,5.89,0,0
2016-10-31,calibration,0,1.75593,2.73,0,0
2016-11-01,calibration,0,4.10148,5.01,0,0
2016-11-02,calibration,0,5.16963,6.4,0,0
2016-11-03,calibration,0,3.84778,4.46,0,0
2016-11-04,calibration,0,4.18037,4.47,0,0
2016-11-05,calibration,0,4.71222,5.19,0,0
2016-11-06,calibration,0,2.70037,3.47,0,0
2016-11-07,calibration,0,1.92148,3.54,0,0
2016-11-08,calibration,0,1.55963,3.34667,0,0
2016-11-09,calibration,0,3.70667,4.85,0,0
2016-11-10,calibration,0,4.32593,5.32,0,0
2016-11-11,calibration,0,2.74556,3.99,0,0
2016-11-12,calibration,0,5.46593,5.85,0,0
2016-11-13,calibration,0,3.92296,4.25,0,0
2016-11-14,calibration,0,4.71519,5.02,0,0
2016-11-15,calibration,0,3.15296,3.66,0,0
2016-11-16,calibration,0,3.34074,4.7,0,0
2016-11-17,calibration,0,2.79222,3.37,0,0
2016-11-18,calibration,0,4.57704,5.94,0,0
2016-11-19,calibration,0,4.92296,5.9,0,0
2016-11-20,calibration,0,2.23852,4.63333,0,0
2016-11-21,calibration,0,1.89444,3.1,0,0
2016-11-22,calibration,0,3.08407,4.74,0,0
2016-11-23,calibration,0,2.87778,3.99,0,0
2016-11-24,calibration,0,2.7863,4.38,0,0
2016-11-25,calibration,0,2.65,4.31,0,0
2016-11-26,calibration,0,2.27556,3.82,0,0
2016-11-27,calibration,0,1.69667,2.92,0,0
2016-11-28,calibration,0,3.10481,4.19,0,0
2016-11-29,calibration,0,3.92593,5.6,0,0
2016-11-30,calibration,0,5.3837,5.81,0,0
2016-12-01,calibration,0,4.46963,5.12,0,0
2016-12-02,calibration,0,1.6737,3.74,0,0
2016-12-03,calibration,0,3.65963,5.42,0,0
2016-12-04,calibration,0,5.76444,6.84,0,0
2016-12-05,calibration,0,6.03852,7.73,0,0
2016-12-06,calibration,0,1.64407,2.6,0,0
2016-12-07,calibration,0,2.17667,3.58,0,0
2016-12-08,calibration,0,3.26556,4.31,0,0
2016-12-09,calibration,0,2.24259,3.2,0,0
2016-12-10,calibration,0,3.19667,3.92,0,0
2016-12-11,calibration,0,4.10889,5.64,0,0
2016-12-12,calibration,0,1.43222,3.33,0,0
2016-12-13,calibration,0,2.78815,3.85,0,0
2016-12-14,calibration,0,4.46333,5.76,0,0
2016-12-15,calibration,0,6.80074,7.06,0,0
2016-12-16,calibration,0,5.13704,5.3,0,0
2016-12-17,calibration,0,2.72185,4.32,0,0
2016-12-18,calibration,0,1.91222,3.49,0,0
2016-12-19,calibration,0,2.77444,3.45,0,0
2016-12-20,calibration,0,3.54556,4.49,0,0
2016-12-21,calibration,0,2.87815,3.62,0,0
2016-12-22,calibration,0,2.97111,4.53,0,0
2016-12-23,calibration,0,1.51481,2.4,0,0
2016-12-24,calibration,0,2.40741,3.33,0,0
2016-12-25,calibration,0,2.41,4.06,0,0
2016-12-26,calibration,0,2.27074,2.69,0,0
2016-12-27,calibration,0,3.02185,3.89,0,0
2016-12-28,calibration,0,2.22407,4.08,0,0
2016-12-29,calibration,0,1.77,2.78667,0,0
2016-12-30,calibration,0,3.11778,4.31,0,0
2016-12-31,calibration,0,3.63519,4.55,0,0
2017-01-01,calibration,0,4.64407,5.56,0,0
2017-01-02,calibration,0,2.2763,2.92,0,0
2017-01-03,calibration,0,2.37111,3.48,0,0
2017-01-04,calibration,0,4.39259,4.79,0,0
2017-01-05,calibration,0,3.97926,4.83,0,0
2017-01-06,calibration,0,2.67407,3.64,0,0
2017-01-07,calibration,0,1.6337,3.0,0,0
2017-01-08,calibration,0,1.9563,2.4,0,0
2017-01-09,calibration,0,2.96926,3.84,0,0
2017-01-10,calibration,0,3.37815,3.83,0,0
2017-01-11,calibration,0,1.8537,3.67,0,0
2017-01-12,calibration,3,2.87704,5.66,3,1
2017-01-13,calibration,0,2.36259,3.11333,0,0
2017-01-14,calibration,1,1.05333,3.79667,1,1
2017-01-15,calibration,1,1.62667,2.98,1,1
2017-01-16,calibration,2,3.05852,3.85,2,1
2017-01-17,calibration,1,4.92889,6.04,1,1
2017-01-18,calibration,2,2.84296,3.89,2,1
2017-01-19,calibration,2,1.50481,2.73,2,1
2017-01-20,calibration,2,0.94852,1.52,2,1
2017-01-21,calibration,0,1.59148,2.3,0,0
2017-01-22,calibration,2,1.61667,2.22,2,1
2017-01-23,calibration,3,2.06407,3.09,3,1
2017-01-24,calibration,4,3.0337,4.26,4,1
2017-01-25,calibration,5,5.47296,6.8,5,1
2017-01-26,calibration,6,2.72815,3.55,4,1
2017-01-27,calibration,6,2.22296,2.88,5,1
2017-01-28,calibration,2,2.89889,4.31,2,1
2017-01-29,calibration,1,2.97519,4.95,1,1
2017-01-30,calibration,2,2.84963,4.04,2,1
2017-01-31,calibration,8,2.63667,3.4,7,1
2017-02-01,calibration,9,1.54481,2.31,6,1
2017-02-02,calibration,4,3.62481,4.66,4,1
2017-02-03,calibration,5,4.72444,6.48,5,1
2017-02-04,calibration,5,3.37778,4.34,5,1
2017-02-05,calibration,5,2.76222,3.44,5,1
2017-02-06,calibration,6,2.5337,2.78,6,1
2017-02-07,calibration,8,2.93481,5.05,6,1
2017-02-08,calibration,6,3.65852,5.06,5,1
2017-02-09,calibration,6,3.56148,5.36,5,1
2017-02-10,calibration,6,2.37259,3.92667,5,1
2017-02-11,calibration,3,2.49333,3.05,3,1
2017-02-12,calibration,2,2.52889,3.06,2,1
2017-02-13,calibration,3,2.93667,3.72,3,1
2017-02-14,calibration,8,2.0837,2.97,8,1
2017-02-15,calibration,9,1.95074,4.11333,8,1
2017-02-16,calibration,3,2.15037,3.28667,3,1
2017-02-17,calibration,1,2.26074,2.87,1,1
2017-02-18,calibration,5,1.6763,2.92,5,1
2017-02-19,calibration,2,1.80074,4.16,2,1
2017-02-20,calibration,4,2.70593,6.02,4,1
2017-02-21,calibration,6,2.76148,4.69333,6,1
2017-02-22,calibration,7,2.00815,3.13,7,1
2017-02-23,calibration,7,2.42704,3.67,7,1
2017-02-24,calibration,2,2.29111,3.3,2,1
2017-02-25,calibration,3,3.79741,5.01,3,1
2017-02-26,calibration,6,2.06778,2.66,6,1
2017-02-27,calibration,7,2.52074,3.57333,7,1
2017-02-28,calibration,1,3.43815,3.89,1,1
2017-03-01,calibration,11,4.03778,4.64,10,1
2017-03-02,calibration,4,3.37889,4.72,4,1
2017-03-03,calibration,5,3.04185,3.92,5,1
2017-03-04,calibration,7,4.49333,5.19,6,1
2017-03-05,calibration,4,3.53852,4.99,3,1
2017-03-06,calibration,10,0.9337,1.63,9,1
2017-03-07,calibration,10,2.60111,3.89,10,1
2017-03-08,calibration,6,3.03481,4.05,6,1
2017-03-09,calibration,9,2.15333,3.04,7,1
2017-03-10,calibration,7,2.31037,3.12,6,1
2017-03-11,calibration,6,2.22667,3.45333,6,1
2017-03-12,calibration,5,4.03222,4.85,5,1
2017-03-13,calibration,5,3.47704,4.48,4,1
2017-03-14,calibration,14,3.05815,4.19,13,1
2017-03-15,calibration,8,2.41444,2.97,7,1
2017-03-16,calibration,7,2.98519,3.47,7,1
2017-03-17,calibration,5,2.67259,5.30667,5,1
2017-03-18,calibration,3,4.57815,5.28,3,1
2017-03-19,calibration,7,3.89259,4.8,6,1
2017-03-20,calibration,6,4.97815,5.77,6,1
2017-03-21,calibration,9,3.75037,4.55,6,1
2017-03-22,calibration,13,2.79704,4.54333,11,1
2017-03-23,calibration,7,1.87926,3.63,7,1
2017-03-24,calibration,10,1.66259,2.92333,6,1
2017-03-25,calibration,5,2.87222,4.44,5,1
2017-03-26,calibration,2,3.23778,4.88,2,1
2017-03-27,calibration,10,2.41704,3.86,9,1
2017-03-28,calibration,9,3.50333,4.96,8,1
2017-03-29,calibration,3,4.01741,4.89,3,1
2017-03-30,calibration,6,2.92963,4.66,5,1
2017-03-31,calibration,1,3.97741,5.31,1,1
2017-04-01,calibration,6,4.89185,5.51,6,1
2017-04-02,calibration,7,3.12519,3.64333,6,1
2017-04-03,calibration,5,1.39778,3.36667,5,1
2017-04-04,calibration,9,2.32296,2.72,9,1
2017-04-05,calibration,5,3.73852,4.83,5,1
2017-04-06,calibration,8,3.09852,3.62,6,1
2017-04-07,calibration,5,1.87556,3.58,5,1
2017-04-08,calibration,5,3.2437,4.89,5,1
2017-04-09,calibration,5,2.6363,3.95,4,1
2017-04-10,calibration,5,1.75963,3.4,5,1
2017-04-11,calibration,7,2.58741,3.4,7,1
2017-04-12,calibration,8,4.8037,5.19,7,1
2017-04-13,calibration,1,4.26852,4.5,1,1
2017-04-14,calibration,1,1.73667,3.02333,1,1
2017-04-15,calibration,7,1.65148,3.36,6,1
2017-04-16,calibration,4,2.45407,3.62,3,1
2017-04-17,calibration,1,3.7337,4.52,1,1
2017-04-18,calibration,1,4.93074,5.28,1,1
2017-04-19,calibration,5,4.12481,4.42,5,1
2017-04-20,calibration,4,1.83815,2.94,3,1
2017-04-21,calibration,6,4.09556,6.31,4,1
2017-04-22,calibration,2,3.0863,3.93,2,1
2017-04-23,calibration,5,4.0937,4.39,5,1
2017-04-24,calibration,5,1.82741,3.44,5,1
2017-04-25,calibration,6,3.93815,5.04,5,1
2017-04-26,calibration,9,4.14889,6.02,8,1
2017-04-27,calibration,7,1.59667,3.50333,6,1
2017-04-28,calibration,7,4.07741,4.28,6,1
2017-04-29,calibration,4,4.08296,4.24,4,1
2017-04-30,calibration,3,3.59667,4.41,1,1
2017-05-01,calibration,12,2.57593,3.66667,9,1
2017-05-02,calibration,7,1.69037,3.26,7,1
2017-05-03,calibration,4,1.84963,2.83,4,1
2017-05-04,calibration,10,1.66185,2.21,9,1
2017-05-05,calibration,4,2.76148,4.25,3,1
2017-05-06,calibration,6,1.83778,3.03333,5,1
2017-05-07,calibration,9,3.31111,3.86,6,1
2017-05-08,calibration,4,1.89926,2.7,4,1
2017-05-09,calibration,8,2.85148,4.0,7,1
2017-05-10,calibration,7,2.50667,3.26667,7,1
2017-05-11,calibration,15,3.59259,4.58,10,1
2017-05-12,calibration,11,1.6937,3.72,10,1
2017-05-13,calibration,3,3.65,4.9,3,1
2017-05-14,calibration,5,6.00407,7.16,4,1
2017-05-15,calibration,18,1.91185,2.92,15,1
2017-05-16,calibration,20,2.88741,3.31333,14,1
2017-05-17,calibration,16,3.34333,4.3,13,1
2017-05-18,calibration,9,3.10519,4.04,7,1
2017-05-19,calibration,11,1.2963,2.55,10,1
2017-05-20,calibration,6,1.38444,1.84,6,1
2017-05-21,calibration,13,1.80407,3.62,11,1
2017-05-22,calibration,16,3.49148,4.27,12,1
2017-05-23,calibration,17,2.19259,2.94,11,1
2017-05-24,calibration,8,1.29222,1.91,8,1
