episode_date,split,step,local_time,observed_purchase_count,actual_wind_mps,actual_wind_direction_deg,episode_order_total,within_episode_arrival_share
2016-10-02,calibration,1,2016-10-02T09:00,0,5.0,102.0,0,0.0
2016-10-02,calibration,2,2016-10-02T09:20,0,4.87,102.31553,0,0.0
2016-10-02,calibration,3,2016-10-02T09:40,0,4.74,102.64839,0,0.0
2016-10-02,calibration,4,2016-10-02T10:00,0,4.61,103.0,0,0.0
2016-10-02,calibration,5,2016-10-02T10:20,0,4.36,104.18015,0,0.0
2016-10-02,calibration,6,2016-10-02T10:40,0,4.11,105.50465,0,0.0
2016-10-02,calibration,7,2016-10-02T11:00,0,3.86,107.0,0,0.0
2016-10-02,calibration,8,2016-10-02T11:20,0,3.81333,111.54171,0,0.0
2016-10-02,calibration,9,2016-10-02T11:40,0,3.76667,116.22768,0,0.0
2016-10-02,calibration,10,2016-10-02T12:00,0,3.72,121.0,0,0.0
2016-10-02,calibration,11,2016-10-02T12:20,0,3.96667,125.86569,0,0.0
2016-10-02,calibration,12,2016-10-02T12:40,0,4.21333,130.18362,0,0.0
2016-10-02,calibration,13,2016-10-02T13:00,0,4.46,134.0,0,0.0
2016-10-02,calibration,14,2016-10-02T13:20,0,4.70333,136.20627,0,0.0
2016-10-02,calibration,15,2016-10-02T13:40,0,4.94667,138.19769,0,0.0
2016-10-02,calibration,16,2016-10-02T14:00,0,5.19,140.0,0,0.0
2016-10-02,calibration,17,2016-10-02T14:20,0,5.32,142.44618,0,0.0
2016-10-02,calibration,18,2016-10-02T14:40,0,5.45,144.77936,0,0.0
2016-10-02,calibration,19,2016-10-02T15:00,0,5.58,147.0,0,0.0
2016-10-02,calibration,20,2016-10-02T15:20,0,5.60667,145.99059,0,0.0
2016-10-02,calibration,21,2016-10-02T15:40,0,5.63333,144.99043,0,0.0
2016-10-02,calibration,22,2016-10-02T16:00,0,5.66,144.0,0,0.0
2016-10-02,calibration,23,2016-10-02T16:20,0,5.64,142.34563,0,0.0
2016-10-02,calibration,24,2016-10-02T16:40,0,5.62,140.67806,0,0.0
2016-10-02,calibration,25,2016-10-02T17:00,0,5.6,139.0,0,0.0
2016-10-02,calibration,26,2016-10-02T17:20,0,5.45333,138.0539,0,0.0
2016-10-02,calibration,27,2016-10-02T17:40,0,5.30667,137.05518,0,0.0
2016-10-03,calibration,1,2016-10-03T09:00,0,3.3,90.0,1,0.0
2016-10-03,calibration,2,2016-10-03T09:20,0,3.24333,92.25044,1,0.0
2016-10-03,calibration,3,2016-10-03T09:40,1,3.18667,94.5849,1,1.0
2016-10-03,calibration,4,2016-10-03T10:00,0,3.13,97.0,1,0.0
2016-10-03,calibration,5,2016-10-03T10:20,0,3.15333,107.70082,1,0.0
2016-10-03,calibration,6,2016-10-03T10:40,0,3.17667,118.61925,1,0.0
2016-10-03,calibration,7,2016-10-03T11:00,0,3.2,129.0,1,0.0
2016-10-03,calibration,8,2016-10-03T11:20,0,3.12333,130.90094,1,0.0
2016-10-03,calibration,9,2016-10-03T11:40,0,3.04667,132.90009,1,0.0
2016-10-03,calibration,10,2016-10-03T12:00,0,2.97,135.0,1,0.0
2016-10-03,calibration,11,2016-10-03T12:20,0,3.06333,135.0,1,0.0
2016-10-03,calibration,12,2016-10-03T12:40,0,3.15667,135.0,1,0.0
2016-10-03,calibration,13,2016-10-03T13:00,0,3.25,135.0,1,0.0
2016-10-03,calibration,14,2016-10-03T13:20,0,3.16667,139.72313,1,0.0
2016-10-03,calibration,15,2016-10-03T13:40,0,3.08333,144.74141,1,0.0
2016-10-03,calibration,16,2016-10-03T14:00,0,3.0,150.0,1,0.0
2016-10-03,calibration,17,2016-10-03T14:20,0,3.06,150.69278,1,0.0
2016-10-03,calibration,18,2016-10-03T14:40,0,3.12,151.35901,1,0.0
2016-10-03,calibration,19,2016-10-03T15:00,0,3.18,152.0,1,0.0
2016-10-03,calibration,20,2016-10-03T15:20,0,3.14667,149.39182,1,0.0
2016-10-03,calibration,21,2016-10-03T15:40,0,3.11333,146.7219,1,0.0
2016-10-03,calibration,22,2016-10-03T16:00,0,3.08,144.0,1,0.0
2016-10-03,calibration,23,2016-10-03T16:20,0,2.88667,143.71132,1,0.0
