InputCovariate,InputStratum,Scenarios,CovariateMean,CovariateMin,CovariateMax,Outcome,ETFixedMinusAlwaysFixed,T95Lower,T95Upper
OrderTotal,Lower half,30,14.5,3,20,VIP,5.55555555555556,-12.4470872262723,23.5581983373835
OrderTotal,Lower half,30,14.5,3,20,Completion,5.85438795810313,2.49015209066041,9.21862382554585
OrderTotal,Lower half,30,14.5,3,20,Energy,12.250314225477,7.11802599045624,17.3826024604978
OrderTotal,Lower half,30,14.5,3,20,PolicyHs,-27,-40.8731552772244,-13.1268447227756
OrderTotal,Lower half,30,14.5,3,20,Access,-48.8888888888889,-53.5722307182611,-44.2055470595167
OrderTotal,Upper half,30,28.7666666666667,22,39,VIP,14.1666666666667,3.7288481131667,24.6044852201666
OrderTotal,Upper half,30,28.7666666666667,22,39,Completion,3.70413907468598,-0.00169022847226552,7.40996837784422
OrderTotal,Upper half,30,28.7666666666667,22,39,Energy,10.5809811215852,7.95339799379975,13.2085642493706
OrderTotal,Upper half,30,28.7666666666667,22,39,PolicyHs,-72.3333333333333,-95.9431631695592,-48.7235034971075
OrderTotal,Upper half,30,28.7666666666667,22,39,Access,-41.8803418803419,-46.9112191110637,-36.84946464962
MeanBiasCorrectedAbsWindResidualMps,Lower half,30,0.405599380535802,0.163338635974074,0.52995120587037,VIP,9.72222222222222,-6.33449396533108,25.7789384097755
MeanBiasCorrectedAbsWindResidualMps,Lower half,30,0.405599380535802,0.163338635974074,0.52995120587037,Completion,6.7580138650394,3.36424402007377,10.151783710005
MeanBiasCorrectedAbsWindResidualMps,Lower half,30,0.405599380535802,0.163338635974074,0.52995120587037,Energy,11.0780507953973,7.56759153570785,14.5885100550868
MeanBiasCorrectedAbsWindResidualMps,Lower half,30,0.405599380535802,0.163338635974074,0.52995120587037,PolicyHs,-56.3333333333333,-76.5368872749008,-36.1297793917658
MeanBiasCorrectedAbsWindResidualMps,Lower half,30,0.405599380535802,0.163338635974074,0.52995120587037,Access,-51.6239316239316,-55.239179640722,-48.0086836071412
MeanBiasCorrectedAbsWindResidualMps,Upper half,30,0.968907532623086,0.557036406737037,1.92954273274444,VIP,10,-3.43753311654333,23.4375331165433
MeanBiasCorrectedAbsWindResidualMps,Upper half,30,0.968907532623086,0.557036406737037,1.92954273274444,Completion,2.8005131677497,-0.768450441126085,6.36947677662548
MeanBiasCorrectedAbsWindResidualMps,Upper half,30,0.968907532623086,0.557036406737037,1.92954273274444,Energy,11.7532445516649,7.1609305494893,16.3455585538405
MeanBiasCorrectedAbsWindResidualMps,Upper half,30,0.968907532623086,0.557036406737037,1.92954273274444,PolicyHs,-43,-64.8425806442174,-21.1574193557826
MeanBiasCorrectedAbsWindResidualMps,Upper half,30,0.968907532623086,0.557036406737037,1.92954273274444,Access,-39.1452991452991,-44.2917200395595,-33.9988782510388
