ScenarioSeed,OrderTotal,MeanBiasCorrectedAbsWindResidualMps,ReplayEpisodeDate
20268101,11,0.163338635974074,2018-08-12
20268102,12,0.31801046512963,2018-08-11
20268103,23,0.397134517848148,2018-08-10
20268104,35,1.92954273274444,2018-08-09
20268105,36,0.793499032033333,2018-08-08
20268106,35,0.494774828485185,2018-08-07
20268107,37,0.58896046647037,2018-08-06
20268108,20,0.4413934935,2018-08-05
20268109,26,1.57639504002963,2018-08-04
20268110,38,0.700332347003704,2018-08-03
20268111,30,0.368991956618519,2018-08-01
20268112,28,0.557558450788889,2018-07-31
20268113,39,1.35043362462593,2018-07-30
20268114,16,0.520254366707407,2018-07-29
20268115,17,0.598026124781482,2018-07-28
20268116,22,0.3787709039,2018-07-27
20268117,30,0.9286194104,2018-07-26
20268118,29,0.786539896885185,2018-07-25
20268119,33,0.403476338337037,2018-07-24
20268120,27,0.409019045033333,2018-07-23
20268121,19,0.4047451091,2018-07-22
20268122,18,1.46992444377407,2018-07-21
20268123,38,0.724743036366667,2018-07-20
20268124,24,0.626580847518519,2018-07-19
20268125,31,0.514589942277778,2018-07-18
20268126,14,0.319098255596296,2018-07-17
20268127,14,0.605295006344444,2018-07-16
20268128,8,0.8495552883,2018-07-15
20268129,3,1.21292243077407,2018-07-14
20268130,8,0.328727970648148,2018-07-13
20268131,12,0.4029485619,2018-07-12
20268132,13,0.323322845507408,2018-07-11
20268133,19,0.466107238574074,2018-07-10
20268134,16,1.00522244377407,2018-07-09
20268135,9,1.38571536237407,2018-07-08
20268136,11,1.26509751052222,2018-07-07
20268137,19,0.52995120587037,2018-07-06
20268138,24,0.874322399411111,2018-07-05
20268139,24,0.431318967966667,2018-07-04
20268140,17,0.513073371040741,2018-07-03
20268141,26,0.482170292633333,2018-07-02
20268142,18,0.485962037707407,2018-07-01
20268143,9,1.05559688089259,2018-06-30
20268144,20,0.326943016351852,2018-06-29
20268145,23,0.528291452440741,2018-06-28
20268146,15,1.46589913045556,2018-06-27
20268147,24,0.254143094759259,2018-06-26
20268148,30,0.557036406737037,2018-06-25
20268149,23,0.817240913907408,2018-06-24
20268150,13,1.39306076978148,2018-06-23
20268151,24,0.927220351025926,2018-06-22
20268152,20,0.701816362374074,2018-06-21
20268153,24,0.404504842514815,2018-06-20
20268154,27,0.7661631091,2018-06-19
20268155,22,0.460109316981482,2018-06-18
20268156,19,0.421010848188889,2018-06-17
20268157,5,0.839424919581482,2018-06-16
20268158,20,0.449297395388889,2018-06-15
20268159,20,0.226501099092593,2018-06-14
20268160,31,0.714481239914815,2018-06-13
