Contrast,Outcome,MeanDifference,T95Lower,T95Upper,Bootstrap95Lower,Bootstrap95Upper,Scenarios
ETFixed minus AlwaysFixed,VIPOnTimeRate,9.86111111111111,-0.294190235108642,20.0164124573309,0.138888888888889,19.8611111111111,60
ETFixed minus AlwaysFixed,CompletionRate,4.77926351639455,2.33556248862154,7.22296454416757,2.33110168499198,7.13337198485875,60
ETFixed minus AlwaysFixed,EnergyPerOrder,11.4156476735311,8.61065857414242,14.2206367729198,8.79448433556535,14.226318120881,60
ETFixed minus AlwaysFixed,HsPolicy,-49.6666666666667,-64.202004847672,-35.1313284856614,-64.8333333333333,-36,60
ETFixed minus AlwaysFixed,HsSafety,-9.66666666666667,-19.1786559349557,-0.154677398377624,-18.8333333333333,-0.166666666666667,60
ETFixed minus AlwaysFixed,PolicyPlanningReleaseRate,-45.3846153846154,-48.8410928416004,-41.9281379276303,-48.7179487179487,-41.965811965812,60
ETFixed minus AlwaysFixed,ForcedSafetyTriggerRate,-0.854700854700855,-1.95002308214414,0.24062137274243,-1.92307692307692,0.213675213675214,60
ETFixed minus AlwaysFixed,PlanningTime,-1.68413622333333,-1.8649827861013,-1.50328966056537,-1.86046793083333,-1.50675007,60
ETAdaptive minus AlwaysAdaptive,VIPOnTimeRate,16.4722222222222,6.82729211758787,26.1171523268566,7.61111111111111,26,60
ETAdaptive minus AlwaysAdaptive,CompletionRate,6.73332515561663,3.88611393373771,9.58053637749556,4.04383864406917,9.52789330942965,60
ETAdaptive minus AlwaysAdaptive,EnergyPerOrder,14.0890265130882,10.9163315295678,17.2617214966085,11.1190023363253,17.2042205318388,60
ETAdaptive minus AlwaysAdaptive,HsPolicy,-47.8333333333333,-63.558227964673,-32.1084387019936,-63.5,-33,60
ETAdaptive minus AlwaysAdaptive,HsSafety,-21,-32.7536678123488,-9.24633218765122,-33,-10.1666666666667,60
ETAdaptive minus AlwaysAdaptive,PolicyPlanningReleaseRate,-45.5982905982906,-49.062915933729,-42.1336652628522,-48.9316239316239,-42.2222222222222,60
ETAdaptive minus AlwaysAdaptive,ForcedSafetyTriggerRate,-0.683760683760684,-1.8963669028805,0.528845535359132,-1.88034188034188,0.512820512820513,60
ETAdaptive minus AlwaysAdaptive,PlanningTime,-1.75407925666667,-1.9444491734673,-1.56370933986604,-1.93857238333333,-1.56825759583333,60
ETAdaptive minus ETFixed,VIPOnTimeRate,5.13888888888889,-1.38694913503894,11.6647269128167,-0.694444444444445,11.8055555555556,60
ETAdaptive minus ETFixed,CompletionRate,-0.318635185499324,-2.42029321538227,1.78302284438362,-2.26233940083469,1.89857713930939,60
ETAdaptive minus ETFixed,EnergyPerOrder,-1.54516627850228,-3.21376968623763,0.123437129233062,-3.20177928643118,0.0399126564625716,60
ETAdaptive minus ETFixed,HsPolicy,-2.66666666666667,-8.73648308845035,3.40314975511702,-8.5,3.33333333333333,60
ETAdaptive minus ETFixed,HsSafety,-10.1666666666667,-19.6730060426933,-0.660327290640081,-20,-1.33333333333333,60
ETAdaptive minus ETFixed,PolicyPlanningReleaseRate,0.341880341880342,-1.65632460852704,2.34008529228773,-1.58119658119658,2.39316239316239,60
ETAdaptive minus ETFixed,ForcedSafetyTriggerRate,-0.47008547008547,-1.40278518383613,0.462614243665194,-1.41025641025641,0.384615384615385,60
ETAdaptive minus ETFixed,PlanningTime,0.0217768016666666,-0.049324640565221,0.0928782438985543,-0.04563436,0.0920690858333333,60
